timestamps_ecg,ecg,timestamps_ppg_1_green,ppg_1_green,timestamps_ppg_1_red,ppg_1_red,timestamps_ppg_1_ir,ppg_1_ir,timestamps_ppg_2_green,ppg_2_green,timestamps_ppg_2_red,ppg_2_red,timestamps_ppg_2_ir,ppg_2_ir
725290.0,-1949.0,725314.0,31289.0,725314.0,2274565.0,725314.0,2544369.0,725301.0,28101.0,725301.0,2534342.0,725301.0,2540145.0
725368.0,-1737.7088607594937,725414.0,31255.336633663366,725414.0,2274574.900990099,725414.0,2544328.405940594,725401.0,28117.666666666668,725401.0,2534269.4509803923,725401.0,2539953.8235294116
725446.0,-1534.2151898734178,725514.0,31204.029702970296,725514.0,2274564.217821782,725514.0,2544304.4752475247,725501.0,28114.156862745098,725501.0,2534142.137254902,725501.0,2539585.862745098
725524.0,-1413.5569620253164,725614.0,31186.50495049505,725614.0,2274553.326732673,725614.0,2544289.4455445544,725601.0,28101.764705882353,725601.0,2533956.294117647,725601.0,2539081.588235294
725602.0,-1333.0506329113923,725714.0,31166.029411764706,725714.0,2274524.470588235,725714.0,2544270.931372549,725701.0,28083.49019607843,725701.0,2533720.137254902,725701.0,2538443.68627451
725680.0,-1252.1898734177216,725814.0,31155.59405940594,725814.0,2274529.584158416,725814.0,2544269.0594059406,725801.0,28004.574257425742,725801.0,2533481.4752475247,725801.0,2537843.6435643565
725758.0,-1142.5822784810127,725914.0,31128.940594059404,725914.0,2274515.108910891,725914.0,2544248.5247524753,725901.0,27919.382352941175,725901.0,2533298.5196078434,725901.0,2537369.794117647
725836.0,-1004.4,726014.0,31119.633663366338,726014.0,2274519.5247524753,726014.0,2544247.920792079,726001.0,27830.598039215685,726001.0,2533160.3333333335,726001.0,2537066.8333333335
725914.0,-892.5316455696202,726114.0,31105.336633663366,726114.0,2274510.891089109,726114.0,2544241.623762376,726101.0,27754.176470588234,726101.0,2533093.529411765,726101.0,2536856.0
725992.0,-800.5189873417721,726214.0,31094.08910891089,726214.0,2274513.6039603963,726214.0,2544232.891089109,726201.0,27692.166666666668,726201.0,2533034.1666666665,726201.0,2536732.6666666665
726070.0,-724.4430379746835,726314.0,31100.128712871287,726314.0,2274514.891089109,726314.0,2544223.9801980196,726301.0,27628.88,726301.0,2532986.65,726301.0,2536632.66
726148.0,-640.2151898734177,726414.0,31090.32,726414.0,2274521.23,726414.0,2544236.35,726401.0,27597.85436893204,726401.0,2532970.13592233,726401.0,2536601.495145631
726226.0,-515.8860759493671,726514.0,31088.12745098039,726514.0,2274506.294117647,726514.0,2544227.529411765,726501.0,27562.6,726501.0,2532966.4,726501.0,2536584.4
726304.0,-387.0379746835443,726614.0,31081.970297029704,726614.0,2274513.4752475247,726614.0,2544234.613861386,726601.0,27549.615384615383,726601.0,2532977.5384615385,726601.0,2536620.230769231
726382.0,-249.7721518987342,726714.0,31094.62376237624,726714.0,2274513.297029703,726714.0,2544238.5544554456,726701.0,27537.36,726701.0,2532994.68,726701.0,2536668.48
726460.0,-82.64556962025318,726814.0,31084.5,726814.0,2274519.6666666665,726814.0,2544230.6666666665,726801.0,27534.0,726801.0,2533025.6,726801.0,2536740.04
726538.0,126.44303797468353,726914.0,31091.039603960395,726914.0,2274516.891089109,726914.0,2544240.504950495,726901.0,27557.54,726901.0,2533088.2,726901.0,2536929.38
726616.0,377.0759493670886,727014.0,31111.04,727014.0,2274522.56,727014.0,2544252.84,727001.0,27572.44230769231,727001.0,2533129.1826923075,727001.0,2537042.9326923075
726694.0,589.6582278481012,727114.0,31124.647058823528,727114.0,2274532.843137255,727114.0,2544255.8039215687,727101.0,27585.9,727101.0,2533191.68,727101.0,2537178.36
726772.0,751.5189873417721,727214.0,31131.0,727214.0,2274518.2,727214.0,2544256.0,727201.0,27610.89423076923,727201.0,2533241.8653846155,727201.0,2537295.3173076925
726850.0,924.3544303797469,727314.0,31157.098039215685,727314.0,2274533.6078431373,727314.0,2544289.725490196,727301.0,27621.356435643564,727301.0,2533281.7425742573,727301.0,2537435.613861386
726928.0,1116.2125,727414.0,31159.32,727414.0,2274540.56,727414.0,2544302.12,727401.0,27630.41176470588,727401.0,2533346.1960784313,727401.0,2537578.9607843137
727006.0,1284.6962025316457,727514.0,31176.352941176472,727514.0,2274529.529411765,727514.0,2544313.705882353,727501.0,27645.117647058825,727501.0,2533406.3921568627,727501.0,2537724.2156862747
727084.0,1323.4303797468353,727614.0,31189.52475247525,727614.0,2274532.3960396037,727614.0,2544326.405940594,727601.0,27656.882352941175,727601.0,2533456.0,727601.0,2537877.9411764704
727162.0,1166.7088607594937,727714.0,31199.425742574258,727714.0,2274540.8118811883,727714.0,2544338.782178218,727701.0,27672.48514851485,727701.0,2533497.099009901,727701.0,2538046.9405940594
727240.0,835.9493670886077,727814.0,31202.74,727814.0,2274545.22,727814.0,2544350.88,727801.0,27686.58823529412,727801.0,2533561.7352941176,727801.0,2538209.5
727318.0,376.98734177215186,727914.0,31221.679611650485,727914.0,2274545.281553398,727914.0,2544356.873786408,727901.0,27702.0,727901.0,2533633.45,727901.0,2538347.95
727396.0,-112.75949367088612,728014.0,31216.22,728014.0,2274557.78,728014.0,2544358.0,728001.0,27730.03846153846,728001.0,2533689.0865384615,728001.0,2538477.923076923
727474.0,-541.7215189873418,728114.0,31238.147058823528,728114.0,2274553.9509803923,728114.0,2544364.9607843137,728101.0,27752.0,728101.0,2533748.5,728101.0,2538618.5
727552.0,-884.1772151898734,728214.0,31230.68,728214.0,2274559.66,728214.0,2544375.59,728201.0,27758.441176470587,728201.0,2533796.8921568627,728201.0,2538739.6764705884
727630.0,-1168.8227848101267,728314.0,31239.58823529412,728314.0,2274564.6764705884,728314.0,2544374.9411764704,728301.0,27772.22,728301.0,2533837.91,728301.0,2538851.45
727708.0,-1410.012658227848,728414.0,31239.29,728414.0,2274566.34,728414.0,2544371.66,728401.0,27789.194174757282,728401.0,2533871.932038835,728401.0,2538956.3106796117
727786.0,-1564.379746835443,728514.0,31252.07843137255,728514.0,2274572.911764706,728514.0,2544373.6274509802,728501.0,27796.882352941175,728501.0,2533894.098039216,728501.0,2539033.529411765
727864.0,-1599.55,728614.0,31238.47524752475,728614.0,2274572.782178218,728614.0,2544371.782178218,728601.0,27810.647058823528,728601.0,2533923.0588235296,728601.0,2539102.3529411764
727942.0,-1559.1012658227849,728714.0,31271.803921568626,728714.0,2274569.117647059,728714.0,2544366.862745098,728701.0,27828.098039215685,728701.0,2533936.0,728701.0,2539137.0588235296
728020.0,-1505.5696202531647,728814.0,31302.68316831683,728814.0,2274574.7524752477,728814.0,2544357.0198019804,728801.0,27836.745098039217,728801.0,2533940.843137255,728801.0,2539153.2156862747
728098.0,-1489.0886075949368,728914.0,31306.20792079208,728914.0,2274572.9603960398,728914.0,2544354.415841584,728901.0,27838.352941176472,728901.0,2533941.2352941176,728901.0,2539150.3529411764
728176.0,-1504.392405063291,729014.0,31321.851485148516,729014.0,2274573.7524752477,729014.0,2544379.168316832,729001.0,27841.356435643564,729001.0,2533922.9603960398,729001.0,2539120.584158416
728254.0,-1497.126582278481,729114.0,31324.9900990099,729114.0,2274574.079207921,729114.0,2544393.831683168,729101.0,27848.264705882353,729101.0,2533907.882352941,729101.0,2539072.9411764704
728332.0,-1439.7215189873418,729214.0,31313.10891089109,729214.0,2274572.574257426,729214.0,2544399.3168316833,729201.0,27859.07843137255,729201.0,2533876.2843137253,729201.0,2538986.4215686275
728410.0,-1352.5316455696202,729314.0,31309.69306930693,729314.0,2274571.306930693,729314.0,2544411.900990099,729301.0,27869.58823529412,729301.0,2533831.1764705884,729301.0,2538916.81372549
728488.0,-1299.012658227848,729414.0,31318.762376237624,729414.0,2274568.336633663,729414.0,2544433.5247524753,729401.0,27861.79411764706,729401.0,2533805.0,729401.0,2538838.7352941176
728566.0,-1315.675,729514.0,31330.93137254902,729514.0,2274580.4803921566,729514.0,2544426.0490196077,729501.0,27864.735294117647,729501.0,2533780.0,729501.0,2538744.3725490198
728644.0,-1351.0759493670887,729614.0,31340.72277227723,729614.0,2274585.702970297,729614.0,2544431.0396039602,729601.0,27865.861386138615,729601.0,2533769.9801980196,729601.0,2538675.386138614
728722.0,-1362.3544303797469,729714.0,31347.574257425742,729714.0,2274590.297029703,729714.0,2544440.702970297,729701.0,27865.235294117647,729701.0,2533734.705882353,729701.0,2538621.117647059
728800.0,-1373.2151898734178,729814.0,31364.138613861385,729814.0,2274602.0198019804,729814.0,2544437.5643564356,729801.0,27877.196078431374,729801.0,2533724.31372549,729801.0,2538568.1764705884
728878.0,-1394.1772151898733,729914.0,31375.52475247525,729914.0,2274601.5247524753,729914.0,2544448.4554455443,729901.0,27877.117647058825,729901.0,2533706.117647059,729901.0,2538571.0588235296
728956.0,-1406.8101265822784,730014.0,31383.673267326732,730014.0,2274607.7326732674,730014.0,2544453.9702970297,730001.0,27873.0,730001.0,2533727.4901960786,730001.0,2538567.6470588236
729034.0,-1379.126582278481,730114.0,31398.326732673268,730114.0,2274627.4554455443,730114.0,2544482.089108911,730101.0,27873.554455445545,730101.0,2533716.6336633665,730101.0,2538598.693069307
729112.0,-1323.8354430379748,730214.0,31410.37623762376,730214.0,2274631.5544554456,730214.0,2544512.0,730201.0,27877.63725490196,730201.0,2533735.1666666665,730201.0,2538608.9901960786
729190.0,-1294.7848101265822,730314.0,31423.643564356436,730314.0,2274622.5445544557,730314.0,2544535.6831683167,730301.0,27882.970588235294,730301.0,2533749.568627451,730301.0,2538651.294117647
729268.0,-1291.8,730414.0,31440.352941176472,730414.0,2274619.3529411764,730414.0,2544579.882352941,730401.0,27891.441176470587,730401.0,2533748.294117647,730401.0,2538668.2647058824
729346.0,-1295.7215189873418,730514.0,31455.574257425742,730514.0,2274621.9603960398,730514.0,2544596.168316832,730501.0,27895.79411764706,730501.0,2533773.5784313725,730501.0,2538735.1960784313
729424.0,-1290.2151898734178,730614.0,31459.574257425742,730614.0,2274633.7425742573,730614.0,2544597.6534653464,730601.0,27894.287128712873,730601.0,2533795.1485148515,730601.0,2538767.376237624
729502.0,-1278.5189873417721,730714.0,31476.148514851484,730714.0,2274640.623762376,730714.0,2544609.0297029703,730701.0,27918.803921568626,730701.0,2533799.2156862747,730701.0,2538814.9607843137
729580.0,-1292.139240506329,730814.0,31497.336633663366,730814.0,2274636.663366337,730814.0,2544616.3564356435,730801.0,27914.098039215685,730801.0,2533829.5098039214,730801.0,2538864.3529411764
729658.0,-1333.0759493670887,730914.0,31510.47524752475,730914.0,2274628.9306930695,730914.0,2544622.2277227724,730901.0,27919.0,730901.0,2533855.0,730901.0,2538932.0
729736.0,-1381.9620253164558,731014.0,31523.52475247525,731014.0,2274630.495049505,731014.0,2544629.2772277226,731001.0,27929.78431372549,731001.0,2533856.9607843137,731001.0,2538971.2156862747
729814.0,-1406.9493670886077,731114.0,31542.59405940594,731114.0,2274637.5247524753,731114.0,2544644.4653465347,731101.0,27928.07843137255,731101.0,2533888.705882353,731101.0,2539026.7647058824
729892.0,-1383.2151898734178,731214.0,31563.980198019803,731214.0,2274654.0,731214.0,2544653.0594059406,731201.0,27941.30693069307,731201.0,2533905.207920792,731201.0,2539106.9405940594
729970.0,-1346.8101265822784,731314.0,31586.50495049505,731314.0,2274659.198019802,731314.0,2544677.168316832,731301.0,27952.245098039217,731301.0,2533943.254901961,731301.0,2539154.774509804
730048.0,-1334.9620253164558,731414.0,31597.019801980197,731414.0,2274666.9801980196,731414.0,2544705.702970297,731401.0,27955.735294117647,731401.0,2533967.882352941,731401.0,2539209.0588235296
730126.0,-1353.6,731514.0,31606.823529411766,731514.0,2274666.2352941176,731514.0,2544719.794117647,731501.0,27961.352941176472,731501.0,2533975.3529411764,731501.0,2539288.0490196077
730204.0,-1372.1012658227849,731614.0,31631.89108910891,731614.0,2274676.0693069305,731614.0,2544743.207920792,731601.0,27978.57843137255,731601.0,2534018.754901961,731601.0,2539334.5196078434
730282.0,-1355.8101265822784,731714.0,31664.26732673267,731714.0,2274682.108910891,731714.0,2544762.5148514854,731701.0,27971.52475247525,731701.0,2534037.0594059406,731701.0,2539391.6831683167
730360.0,-1318.746835443038,731814.0,31679.178217821784,731814.0,2274690.0495049506,731814.0,2544763.594059406,731801.0,27983.49019607843,731801.0,2534069.3529411764,731801.0,2539462.3921568627
730438.0,-1185.2784810126582,731914.0,31697.27722772277,731914.0,2274722.4851485146,731914.0,2544779.99009901,731901.0,27992.58823529412,731901.0,2534088.1764705884,731901.0,2539515.1764705884
730516.0,-901.3037974683544,732014.0,31704.950495049507,732014.0,2274745.207920792,732014.0,2544797.2772277226,732001.0,28003.647058823528,732001.0,2534115.9215686275,732001.0,2539577.862745098
730594.0,-513.8607594936709,732114.0,31728.118811881188,732114.0,2274756.0594059406,732114.0,2544819.8118811883,732101.0,28009.92156862745,732101.0,2534128.274509804,732101.0,2539641.1960784313
