timestamps_ecg,ecg,timestamps_ppg_1_green,ppg_1_green,timestamps_ppg_1_red,ppg_1_red,timestamps_ppg_1_ir,ppg_1_ir,timestamps_ppg_2_green,ppg_2_green,timestamps_ppg_2_red,ppg_2_red,timestamps_ppg_2_ir,ppg_2_ir
763530.0,-1395.0,763536.0,30428.0,763536.0,2275115.0,763536.0,2546066.0,763512.0,21303.0,763512.0,2273412.0,763512.0,2267852.0
763608.0,-1353.5316455696202,763636.0,30448.79207920792,763636.0,2275110.0495049506,763636.0,2546066.99009901,763612.0,21315.745098039217,763612.0,2273417.882352941,763612.0,2267880.431372549
763686.0,-1101.5316455696202,763736.0,30440.178217821784,763736.0,2275117.8415841586,763736.0,2546061.118811881,763712.0,21326.673267326732,763712.0,2273421.881188119,763712.0,2267867.415841584
763764.0,-878.5443037974684,763836.0,30463.058823529413,763836.0,2275129.529411765,763836.0,2546074.4509803923,763812.0,21333.656862745098,763812.0,2273415.343137255,763812.0,2267844.1764705884
763842.0,-820.632911392405,763936.0,30473.50495049505,763936.0,2275127.1485148515,763936.0,2546078.801980198,763912.0,21345.176470588234,763912.0,2273398.2352941176,763912.0,2267842.068627451
763920.0,-860.1518987341772,764036.0,30489.049504950493,764036.0,2275132.6435643565,764036.0,2546113.801980198,764012.0,21357.852941176472,764012.0,2273386.970588235,764012.0,2267788.205882353
763998.0,-915.0125,764136.0,30490.0,764136.0,2275138.584158416,764136.0,2546116.0,764112.0,21362.56862745098,764112.0,2273392.245098039,764112.0,2267755.343137255
764076.0,-990.1012658227849,764236.0,30495.52475247525,764236.0,2275122.425742574,764236.0,2546126.128712871,764212.0,21376.08823529412,764212.0,2273413.068627451,764212.0,2267760.725490196
764154.0,-1054.7088607594937,764336.0,30506.823529411766,764336.0,2275129.117647059,764336.0,2546130.6078431373,764312.0,21373.735294117647,764312.0,2273410.882352941,764312.0,2267774.794117647
764232.0,-1048.8987341772151,764436.0,30514.237623762376,764436.0,2275138.910891089,764436.0,2546152.386138614,764412.0,21390.5,764412.0,2273456.6666666665,764412.0,2267827.8333333335
764310.0,-1056.4683544303798,764536.0,30538.79207920792,764536.0,2275149.693069307,764536.0,2546154.118811881,764512.0,21410.274509803923,764512.0,2273467.6274509802,764512.0,2267880.31372549
764388.0,-1174.1898734177216,764636.0,30536.772277227723,764636.0,2275159.712871287,764636.0,2546150.5148514854,764612.0,21433.852941176472,764612.0,2273501.3529411764,764612.0,2267937.6470588236
764466.0,-1367.425,764736.0,30566.70588235294,764736.0,2275181.470588235,764736.0,2546201.1764705884,764712.0,21450.73267326733,764712.0,2273542.0693069305,764712.0,2268024.306930693
