,ecg_time,ecg_sig
0,0.0,136.12813228639314
1,0.005,256.98102616736514
2,0.01,370.93355328449695
3,0.015,468.60175852157175
4,0.02,541.8587645817788
5,0.025,590.2186851211845
6,0.03,622.3788479669546
7,0.035,651.5374975317519
8,0.04,688.9718874695452
9,0.045,739.618613891693
10,0.05,800.8192385006607
11,0.055,864.5847359433483
12,0.06,922.3807693956392
13,0.065,969.3908249317777
14,0.07,1005.9445706782295
15,0.075,1036.7000998693388
16,0.08,1068.8269928045117
17,0.085,1109.0604072606302
18,0.09,1160.2596147147262
19,0.095,1220.328036738609
20,0.1,1285.1956121339829
21,0.105,1353.3987863733837
22,0.11,1428.279340522837
23,0.115,1516.416269999409
24,0.12,1623.4261679791384
25,0.125,1749.0261319450374
26,0.13,1884.3689563824764
27,0.135,2015.121133950676
28,0.14,2129.9024212505865
29,0.145,2227.8072883027166
30,0.15,2318.3268319793506
31,0.155,2413.536569043564
32,0.16,2518.4489531495415
33,0.165,2625.3663551048403
34,0.17,2714.5009196258634
35,0.17500000000000002,2760.170965441139
36,0.18,2739.6472443441858
37,0.185,2640.196628679537
38,0.19,2461.324725838781
39,0.195,2213.2370869330616
40,0.2,1914.4845295874275
41,0.20500000000000002,1589.53775004409
42,0.21,1264.6212530772086
43,0.215,961.4042471743213
44,0.22,691.3551884138512
45,0.225,454.55615381867466
46,0.23,244.32380168832162
47,0.23500000000000001,55.10487685350793
48,0.24,-111.41774458583822
49,0.245,-246.24856532928712
50,0.25,-339.1097216918502
51,0.255,-386.1384502646335
52,0.26,-393.8960489238308
53,0.265,-377.6432554013854
54,0.27,-355.73820532795855
55,0.275,-343.21636820223887
56,0.28,-346.8301948531688
57,0.28500000000000003,-363.20208687240046
58,0.29,-381.13391989767445
59,0.295,-387.4269305166458
60,0.3,-373.6531758601079
61,0.305,-340.82895809929425
62,0.31,-299.79865658928145
63,0.315,-266.5611351501645
64,0.32,-254.11600860336912
65,0.325,-265.38064323757203
